timestamp,ear,mar,pitch,roll,yaw,blink_count,yawn_count,eye_closed_frames,norm_ear,norm_mar,norm_pitch,norm_roll,norm_yaw,baseline_progress,severity,severity_score,label
1777912249.2396567,0.27472819683899985,0.2904709717141414,-147.66801790536823,0.3257916089306967,3.321996217987289,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0008333333333333334,alert,0.1,alert
1777912249.3559163,0.3242964290677026,0.3187678074480792,-171.3541758225392,2.131589412177988,4.5382539780272575,0.0,0.0,0.0,1.0827482378602962,1.046446215674008,-1.0742461132261312,1.7348464840151563,1.1547352475696842,0.0016666666666666668,low,0.55,alert
1777912249.7324796,0.24689010133632527,0.3102766273241041,-179.33709670716803,4.866915878968829,6.394682910280256,0.0,0.0,0.0,0.8986704101618348,1.0,-1.0465872561687453,2.2832332770859347,1.4090623709561476,0.0025,low,0.55,alert
1777912249.794219,0.2877513434944804,0.3114870343234888,166.03032424034006,-0.28419907741854666,7.950328511392036,0.0,0.0,0.0,1.023153102862656,1.0019467316507003,1.0408700554667152,-0.23130241096297385,1.4543811224035699,0.0033333333333333335,low,0.55,alert
1777912249.8719435,0.27619675018440726,0.3074571857577517,164.15263166322742,0.14653841541296433,5.822823115088185,0.0,0.0,0.0,1.0,0.9909131358340849,1.1116329317051117,0.44979186509415714,1.0,0.004166666666666667,alert,0.1,alert
1777912249.9298916,0.3040596363936291,0.30189048411480235,160.75604086601203,-1.0014755657437693,7.008302495253212,0.0,0.0,0.0,1.0783249018898566,0.9774128523374157,24.565366572080716,-4.24057550495714,1.1472558279408525,0.005,low,0.55,alert
1777912249.9942513,0.26755069226256545,0.3229451157259069,164.43267182800787,-0.7292099751928115,7.561746579488293,0.0,0.0,0.0,0.9686960186313954,1.0408296574287876,1.0228708727969997,-4.976237617540785,1.1825053228725126,0.005833333333333334,low,0.55,alert
1777912250.1190572,0.2626284385639101,0.317500116686268,165.78140588449688,-0.12051032605385129,5.532078644048544,0.0,0.0,0.0,0.9534091348843995,1.021288750921641,1.020480029627881,-9.260020925174654,0.9055986766139883,0.006666666666666667,low,0.55,alert
1777912250.1880097,0.25589335241786043,0.3322682087766606,169.8389369323722,-0.5616540185800166,5.640209130820436,0.0,0.0,0.0,0.9314418955249166,1.0667160175649235,1.0346403539896376,-4.66062981465203,0.9686382394487381,0.0075,low,0.55,alert
1777912250.2723281,0.250564863707978,0.32031535847736675,163.53399708349852,-0.09503360229153228,5.574172953029394,0.0,0.0,0.0,0.924118082941078,1.018511611765494,0.9981121152788719,-0.881802637829373,0.9725477227055562,0.008333333333333333,alert,0.1,alert
1777912250.341148,0.22909930574229065,0.3356189637954088,162.94612059050047,-1.4361972449904512,3.553581973721632,0.0,0.0,0.0,0.8562837337660862,1.0570672140163169,0.9964051726033585,-11.917628074034681,0.630044363834559,0.009166666666666667,low,0.55,alert
1777912250.401414,0.21199723040274887,0.32129916803359493,161.76186000721498,-1.4571757188420422,3.3854413709834916,0.0,0.0,0.0,0.7997192574225795,1.0099492866019535,0.9909446318488495,-7.20109642296179,0.6037677949031124,0.01,low,0.55,alert
1777912250.4723291,0.23005750630820587,0.3200033264305909,163.30607079270385,-1.2822869930707512,2.173167357018571,0.0,0.0,0.0,0.8759809393308403,1.00387592145017,1.0,-4.511932286051362,0.3898636399212408,0.010833333333333334,low,0.55,alert
1777912250.5411253,0.2967442393975926,0.3160935371061344,171.82018350013067,-3.0147213823449035,1.302233289404788,0.0,0.0,0.0,1.1194112410083346,0.9935862711802886,1.0514022017962081,-7.128238689688556,0.23450455412830853,0.011666666666666667,low,0.55,alert
1777912250.6038065,0.30713189176078937,0.3213120292706343,166.74954352320677,-2.95110786937722,2.2098140358647647,0.0,0.0,0.0,1.1479390659149564,1.0079814264900935,1.0196628621390966,-5.254316308175381,0.39945455913612166,0.0125,low,0.55,alert
1777912250.6726053,0.2811347058621039,0.31884906305701194,168.6856954912106,-3.3749796342089944,2.097098217796802,0.0,0.0,0.0,1.036863914536231,1.0001274364162736,1.0295549509381439,-5.229024359638213,0.4164903576669598,0.013333333333333334,low,0.55,alert
1777912250.7309678,0.2762336715789376,0.3326197781949726,174.46682611373208,-2.8606386946166147,0.4811969499561146,0.0,0.0,0.0,1.0054798697667717,1.0431888210864788,1.062832952149467,-3.922928637749681,0.10603129579920229,0.014166666666666666,low,0.55,alert
1777912250.8013692,0.27175236153116544,0.3303126295177931,164.81164862059714,-2.057818121307943,0.8530662258031495,0.0,0.0,0.0,0.9945545449654978,1.0340812211181467,1.0031589780155419,-2.37803815035553,0.2108461493510076,0.015,low,0.55,alert
1777912250.8588452,0.2713714801355833,0.3334746497249742,165.9523088507908,-2.1875916355684755,0.43566147406561423,0.0,0.0,0.0,0.998598424707568,1.0420974476879548,1.009241697564657,-2.184368456302585,0.12259783995058658,0.015833333333333335,low,0.55,alert
1777912251.1224003,0.3071877866532857,0.3165101513342585,163.30096753587213,-1.8582153492678917,1.7588514159710944,0.0,0.0,0.0,1.124240494737631,0.9908709947476859,0.9939639162238308,-1.6273279742640792,0.5069449484741105,0.016666666666666666,low,0.55,alert
1777912251.1884692,0.24944966400082202,0.3223532013659168,159.63424033251573,-1.713638266366517,-0.1819294668293432,0.0,0.0,0.0,0.9179300691089461,1.0073432828387663,0.9724744508514396,-1.336392145928884,-0.05373877343989908,0.0175,low,0.55,alert
1777912251.273022,0.24828559290667623,0.30532270553828633,162.06460023937768,-1.752463961920999,-0.019041668102789,0.0,0.0,0.0,0.9142872172384577,0.9558474244204459,0.9891438101042561,-1.28929492206351,-0.005677777198881352,0.018333333333333333,low,0.55,alert
